Title,Type,Genres,Description,Release Year,Age Certification,Runtime,IMDB ID,IMDB Score,IMDB Votes,Production Countries,Seasons,Rating
Bleach the Movie: Fade to Black,MOVIE,"['fantasy', 'drama', 'animation', 'action']","A mysterious reiatsu (spiritual particle) explosion occurs in the center of Seireitei in Soul Society, causing it to be destroyed. At the exact same time, a major change overwhelms Kuchiki Rukia, which leaves her losing something important inside. Urahara Kisuke sends Kurosaki Ichigo to Soul Society to investigate the disturbance. Upon reaching Seireitei, Ichigo is attacked by his ally shinigamis.",2008,PG-13,94,tt1339302,7.2,2151.0,['JP'],0.0,Best
Sorry to Disturb,MOVIE,"['thriller', 'comedy', 'drama', 'romance']","Hassan, a brilliant aviation engineer struggles with loneliness and depression while trying to design his exceptional project.",2008,,116,tt1282371,8.0,5824.0,['EG'],0.0,Best
The Cartel,SHOW,"['action', 'crime', 'drama', 'thriller', 'comedy']","The Cartel follows ten friends, all of them members of a dangerous drug cartel, whose ambition for power and money will cause them to eventually kill each other. For it is an undeniable truth that, in this business, you always lose.",2008,TV-MA,44,tt1260520,8.1,755.0,['CO'],2.0,Best
Mission Istaanbul,MOVIE,"['action', 'drama', 'thriller']",A news reporter must uncover the secret on the 13th floor of a News Station.,2008,,125,tt1179781,3.4,1156.0,['IN'],0.0,Poor
The Legend of Bruce Lee,SHOW,"['action', 'drama']","The story of the legendary martial arts icon Bruce Lee following him from Hong Kong to America and back again, leading up to his tragic death at the age of 32.",2008,,45,tt1059455,7.0,1422.0,['CN'],1.0,Average
The Mafia Dolls,SHOW,"['drama', 'action']","Las MuÃ±ecas De La Mafia is a 2009 Colombian telenovela produced by BE-TV and broadcast by Caracol TV. It's based on Juan Camilo Ferrand and Andres Lopez's book ""Las FantÃ¡sticas"". They also wrote the scripts for the television series. The telenovela will debut soon on the Telefutura Network. Series debuted on May 3, 2010 after the Vecinos finale. The show ended July 2010 in the U.S.

It talks about the story of Brenda, Olivia, Violeta, Renata and Pamela. They get into trouble throughout the series because they get involved with some mafia guys from ""El Carmen"" in Colombia.They all have sad endings. Pamela immigrates, at the end of the story, to the United States of America to try to get away from trouble and be close to her father, who was a pilot and end up in jail because he was captured by DEA taking cocaine to U.S in a plain, and ends up as a maid but tells Brenda she is happy and having a great life. Olivia ends up in jail for having a fake wedding with a Braulio Bermudez and getting some of his properties. Violeta dies when the two mafia opposite sides were going to end a war that was going on in between them.Renata also dies because she was force by erick, to pay money she owe him, to carry drugs in her stomach to the United States and no one of her loved ones knew because she had no identification on her. Brenda ends up being pregnant by Braulio, she never saw him again, because he was taken to an US jail. This is a very exiting story to see and it shows how easy life is never a good choice, might be nice and easy at the beginning but some day all ends.",2009,TV-14,43,tt1585368,6.6,284.0,['CO'],2.0,Average
Wake Up Sid,MOVIE,"['comedy', 'drama', 'romance']","Wake Up Sid! is the story of a lazy Mumbai college student who does absolutely nothing, with a turn of events will Sid realize his potential in this world and become a success in the fast-paced life of Mumbai.",2009,,138,tt1324059,7.6,30818.0,['IN'],0.0,Best
Public Enemies,MOVIE,"['crime', 'drama', 'history', 'action', 'european']","Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.",2009,R,143,tt1152836,7.0,297525.0,['US'],0.0,Average
Monty Python: Almost the Truth (The Lawyer's Cut),SHOW,"['comedy', 'documentation']","The story of Monty Python through brand new interviews with the Pythons: John Cleese, Terry Gilliam, Eric Idle, Terry Jones & Michael Palin and archive material from the late Graham Chapman.",2009,TV-MA,55,tt1422182,8.1,1740.0,['US'],1.0,Best
The Figurine (Araromire),MOVIE,"['horror', 'thriller']","Two buddies and a girl, down on their luck, have their lives changed when one of them discovers a mysterious figurine in an abandoned shrine which, according to legend, bestows seven years of good luck. But no one told them about the next seven years...",2009,PG-13,122,tt1542960,4.4,243.0,['NG'],0.0,Poor
Boys Over Flowers,SHOW,"['comedy', 'drama', 'romance']",A working class girl winds up at an exclusive prep school. Unassuming high school girl Jan Di stands up to -- and eventually falls for -- a spoiled rich kid who belongs to the school's most powerful clique.,2009,TV-14,64,tt1370334,7.9,11579.0,['KR'],1.0,Best
The Ultimatum,SHOW,['drama'],"The Ultimatum is a Singaporean Chinese drama which was telecasted on Singapore's free-to-air channel, MediaCorp Channel 8. It made its debut on 27 May 2009 and ended on the date 7 July 2009. This drama serial consists of 30 episodes, and was screened on every weekday night at 9:00 pm.

Being the mid-year Channel 8 blockbuster of 2009, it was the first Channel 8 drama to be fully filmed in HD.

Despite being touted as the 2009 blockbuster of the year and featuring many established actors and actresses like Zoe Tay, Li Nanxing and Fann Wong, the show's reception was lukewarm at best. Many viewers faulted the serial for improbable casting and for a lack of originality in certain parts of the scripting. The series also came under harsh criticism for being overly melodramatic. However, the performance of newcomers such as Jerry Yeo, who played an antagonist for the first time, were widely praised.",2009,TV-14,44,tt1682704,5.4,6.0,['SG'],1.0,Average
Sherlock Holmes,MOVIE,"['crime', 'action', 'thriller']",Eccentric consulting detective Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.,2009,PG-13,129,tt0988045,7.6,620154.0,"['GB', 'US', 'AU', 'DE']",0.0,Best
Kurbaan,MOVIE,"['thriller', 'action', 'crime', 'drama', 'romance', 'sport']","When a handsome young Indian couple (Saif Ali Khan and Kareena Kapoor) moves into the suburbs to claim their stake in the American dream, they are shocked to discover that they've become enmeshed in a secretive terrorist plot. But as tensions escalate, the bride begins to wonder if her husband has told her everything he knows.",2009,R,161,tt1185442,5.7,5121.0,['IN'],0.0,Average
Talentime,MOVIE,['drama'],"A talent search competition has matched two hearts - that of Melur, a Malay-mixed girl and an Indian male student, Mahesh. Melur, with her melodious voice, singing whilst playing the piano is one of the seven finalists of the Talentime competition of her school organised by Cikgu Adibah. Likewise Hafiz, enthralling with his vocalist talent while playing the guitar, divides his time between school and mother, who is hospitalised for brain tumor.",2009,,120,tt1351669,7.4,203.0,['MY'],0.0,Best
And Then Came Lola,MOVIE,"['comedy', 'drama', 'romance']","A talented, but distracted photographer, Lola, on the verge of success in both love and work, could lose it all if she doesn't make it to a crucial meeting on time. But, as usual, Lola is late. With her job and girlfriend on the line, she has three chances to make it right. In a desperate race through the streets and back rooms of San Francisco, time grows short-will Lola make it? Will she come at all? With a pop sensibility that mixes live action, animation and still photography, And Then Came Lola explores love's age old question in a fresh new way, ""If you try, try again, will you finally get it right?"" (Written by M. Siler and E. Seidler)",2009,PG,71,tt1123894,3.9,1683.0,['US'],0.0,Poor
Main Aurr Mrs Khanna,MOVIE,"['drama', 'comedy', 'romance']","Three people, each having different aspirations from life, are caught in a tangle of emotions and donâ€™t know the way out. Thereâ€™s a husband and wife with love eroding from their life. And thereâ€™s a single, happy-go-lucky dude who falls in love with the wife.",2009,PG,115,tt1174041,3.5,3148.0,['IN'],0.0,Poor
The Garfield Show,SHOW,"['animation', 'comedy', 'family', 'european']","Your favorite lazy, fat cat is at it again. Garfield, Odie, Jon and the rest of the gang are back for more funny misadventures. Whether he's scarfing down lasagna or tricking Nermal the kitten, Garfield is guaranteed to crack you up. But remember: He hates Mondays!",2009,TV-G,17,tt1470837,5.3,2499.0,['US'],5.0,Average
Iris,SHOW,"['action', 'comedy', 'reality', 'romance', 'thriller']","Two friends, members of the South Korean military, are recruited by a secret black ops agency.",2009,TV-14,61,tt1399791,7.8,1951.0,['KR'],2.0,Best
Midnight Diner,SHOW,"['drama', 'comedy']","Set in a small restaurant in the corner of a shopping district. The unusual eatery is only open after midnight, and its standard menu consists of just a single choice. However, the customers still come for the amusing chatter and the proprietor's willingness to cook any dish that they request. This drama depicts the lives of the restaurant's patrons, including a yakuza, an unsuccessful actor, a group of office ladies, a newspaper delivery boy, and a stripper.",2009,TV-MA,27,tt1882928,8.6,2110.0,['JP'],5.0,Best
Did You Hear About the Morgans?,MOVIE,"['comedy', 'romance', 'drama']","In New York City, an estranged couple who witness a murder are relocated to small-town Wyoming as part of a witness-protection program.",2009,PG-13,103,tt1314228,4.9,40289.0,['US'],0.0,Poor
Aagey Se Right,MOVIE,"['comedy', 'crime', 'drama']","Aage Se Right is the story of chance, co-incidence and real life humor based in the present day Mumbai. The film spans over five days of panic, chaos and mayhem!!!",2009,G,117,tt1479667,5.2,406.0,['IN'],0.0,Average
Look for a Star,MOVIE,"['romance', 'comedy']","Wealthy construction mogul Sam Ching (Andy Lau) and cabaret dancer Milan Sit (Qi Shu) fall madly in love with one another despite the class differences that would keep many couples apart. However, what Sit doesn't know is that Ching is the man responsible for razing a building representing cherished memories from her childhood. Can they live happily ever after if this secret gets out?",2009,,117,tt1312156,5.6,708.0,['HK'],0.0,Average
One Piece: Strong World,MOVIE,"['fantasy', 'animation', 'action']","20 years after his escape from Impel Down, the legendary pirate Shiki, the Golden Lion, reappears causing massive upheaval to the Marines. During his long seclusion, he was able to come up with a scheme to bring the World Government to his knees. On his way to execute the plan, Shiki crosses paths with the Straw Hat Pirates and becomes so impressed with Nami's knowledge of meteorology that he abducts her to forcedly enlist her into his crew. Luffy and the gang end up on a strange land populated with monstrous beasts as they desperately search for Shiki and Nami.",2009,PG-13,114,tt1485763,7.5,5382.0,['JP'],0.0,Best
Dev.D,MOVIE,"['drama', 'romance', 'comedy']","Because they come from different castes, the son of a tax collector and his true love are not allowed to marry, sending them down divergent paths.",2009,PG-13,144,tt1327035,7.9,30389.0,['IN'],0.0,Best
Love Happens,MOVIE,"['drama', 'romance']","Dr. Burke Ryan is a successful self-help author and motivational speaker with a secret. While he helps thousands of people cope with tragedy and personal loss, he secretly is unable to overcome the death of his late wife. It's not until Burke meets a fiercely independent florist named Eloise that he is forced to face his past and overcome his demons.",2009,PG-13,109,tt4809870,5.6,32837.0,"['CA', 'GB', 'US']",0.0,Average
3 Idiots,MOVIE,"['comedy', 'drama']","In the tradition of â€œFerris Buellerâ€™s Day Offâ€ comes this refreshing comedy about a rebellious prankster with a crafty mind and a heart of gold. Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside downâ€”along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the schoolâ€™s uptight and heartless dean. But when Rancho catches the eye of the dean's sexy daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",2009,PG-13,170,tt1187043,8.4,385782.0,['IN'],0.0,Best
Agyaat,MOVIE,"['horror', 'thriller', 'drama']","A film unit goes for a shoot deep into a forest, they settle at a place with bare minimal facilities run by a strange and quirky man called Setu.",2009,,98,tt1415252,2.9,674.0,['IN'],0.0,Poor
The Vampire Diaries,SHOW,"['scifi', 'drama', 'thriller', 'fantasy', 'horror', 'romance']","The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864.",2009,TV-14,42,tt1405406,7.7,310776.0,['US'],8.0,Best
Friday the 13th,MOVIE,"['horror', 'thriller']",A group of young adults visit a boarded up campsite named Crystal Lake where they soon encounter the mysterious Jason Voorhees and his deadly intentions.,2009,R,97,tt0758746,5.5,105938.0,['US'],0.0,Average
The Final Destination,MOVIE,"['horror', 'fantasy', 'scifi', 'action', 'thriller']","After a young man's premonition of a deadly race-car crash helps saves the lives of his peers, Death sets out to collect those who evaded their end.",2009,R,82,tt1144884,5.1,104166.0,['US'],0.0,Average
Pomegranates and Myrrh,MOVIE,['drama'],"A free spirited woman dancer, Kamar, finds herself the lonely wife of a prisoner, Zaid, and away from everything she loves until she returns to the dance, defying societys taboos. At the dance Kamar is confronted with Kais, a Palestinian returnee. Sparks fly between Kamar and Kais, creating more than a passionate, emotional dance for the both of them. Matters become even more complicated when Zaid's sentence is extended. Kamar's life is thrown into turmoil as she becomes increasingly attached to Kais, and caught in the midst of her desire to dance and breaking the family and society taboos of the prisoner's wife's role while life under occupation rages on.",2009,,95,tt1320282,6.3,249.0,"['DE', 'KW', 'PS', 'FR']",0.0,Average
My Suicide,MOVIE,"['comedy', 'drama']","After declaring that he's going to film himself committing suicide for a school project, Archie videotapes his surprising interactions with worried family members, interested classmates, unreliable medical experts and the hottest girl in school.",2009,R,107,tt0492896,7.0,1936.0,['US'],0.0,Average
The Blind Side,MOVIE,"['drama', 'sport']","The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",2009,PG-13,129,tt0878804,7.6,323939.0,['US'],0.0,Best
Einsatzgruppen: The Nazi Death Squads,SHOW,"['documentation', 'history', 'war', 'european']","This documentary series examines the Einsatzgruppen, Nazis responsible for the mass murder of Jews, Romani and Soviet prisoners in Eastern Europe.",2009,TV-14,44,tt6953928,7.6,603.0,['FR'],1.0,Best
Kaminey,MOVIE,"['drama', 'crime', 'action', 'thriller']","Two brothers, as different as chalk and cheese, find their lives intertwined when one puts himself in danger via a `get rich quick' scheme and the other finds there is a price on his head.",2009,PG-13,135,tt1274295,7.4,17136.0,['IN'],0.0,Best
Gifted Hands: The Ben Carson Story,MOVIE,['drama'],Gifted Hands: The Ben Carson Story is a movie based on the life story of world-renowned neurosurgeon Ben Carson from 1961 to 1987.,2009,,86,tt1295085,7.6,10210.0,['US'],0.0,Best
Dhoondte Reh Jaaoge,MOVIE,"['comedy', 'drama']","Anand Pawar (Kunal Khemu) and Raj Chopra (Paresh Rawal) are perhaps the two most extreme individuals that have walked the city of Mumbai. While Anand is an idealist chartered accountant, Raj is an idle film producer.",2009,PG,135,tt1391544,5.6,812.0,['IN'],0.0,Average
Black & White,SHOW,"['action', 'comedy', 'sport', 'crime']","Pi Zi and Ying Xiong are two cops who are as different as day and night. One lives a luxurious lifestyle and does nothing but drink coffee and wait for information from dubious sources to crack his cases. Another believes law and justice are the pillars of society and is constantly on the street catching criminals. When a case brings these two top crime solvers together, sparks fly and light begins to creep into the dark corners of Taipei.",2009,TV-14,37,tt1508870,7.6,302.0,['TW'],3.0,Best
DreamWorks Spooky Stories,SHOW,['animation'],A collection of animated tales includes shrek's thrilling tales and scared shrekless.,2009,TV-PG,26,tt6958564,6.2,19.0,['US'],1.0,Average
Autumn's Concerto,SHOW,"['drama', 'romance']","Autumn's Concerto is a 2009 Taiwanese drama starring Ady An, Vanness Wu of F4, and Tiffany Hsu. It was produced by Sanlih E-Television and directed by Chen Hui Ling. The drama started filming in June 2009 and was completed in December 2009.

It was first broadcast in Taiwan on free-to-air Taiwan Television from 4 October 2009 to 28 February 2010, on Sundays at 22:00 to 23:30. It was also shown on cable TV Sanlih E-Television on 10 October 2009 to 6 March 2010 on Saturdays at 21:00 to 22:30.

Autumn's Concerto was nominated in 2010 for Best Marketing Programme at the 45th Golden Bell Awards, Taiwan.

Known as the drama serial which shot the child actor Xiao Xiao Bin to stardom, Autumn's Concerto has broken records with its high ratings. Scoring 8.23 as its peak point for episode 18, which aired January 31, 2010, Autumn's Concerto has broken the records of The Prince Who Turns into a Frog to become the second highest rating Taiwanese idol drama, the highest rating being held by Fated to Love You. Autumn's Concerto now airs on Hawaii's KIKU television, weekly on Saturday's at 7:00.",2009,TV-14,58,tt3530668,7.9,475.0,['TW'],1.0,Best
Kevin Hart: I'm a Grown Little Man,MOVIE,"['comedy', 'documentation']","Fresh off the heels of appearing in movies like Superhero Movie and The 40 Year-Old Virgin, fast-talking comedian Kevin Hart stars in this live stand-up performance where he makes fun of everything and everybody - especially himself.",2009,R,72,tt1420554,7.5,4333.0,['US'],0.0,Best
Harishchandrachi Factory,MOVIE,"['comedy', 'drama']",The movie depicts efforts and struggle by Dadasaheb Falke for creating first motion picture in India - Raja Harishchandra.,2009,G,96,tt1524539,8.4,2464.0,['IN'],0.0,Best
Jim Gaffigan: King Baby,MOVIE,"['comedy', 'documentation']","The greatly anticipated follow up to the platinum selling Beyond the Pale. In this Austin performance that capped off the 2008 sold-out stand up tour, Gaffigan does not let the audience catch their breath. This all-new show proves no other comedian working today can romanticize laziness and over-indulgence like Jim Gaffigan.",2009,,72,tt1390471,7.7,2548.0,['US'],0.0,Best
Delhi-6,MOVIE,"['drama', 'comedy']","Roshan, an NRI, arrives in Old Delhi with his ailing grandmother and starts to rediscover himself before getting caught in a religious dispute that shakes the once peaceful neighborhood.",2009,,141,tt1043451,6.1,7683.0,['IN'],0.0,Average
The Men Who Stare at Goats,MOVIE,"['comedy', 'war']","A reporter in Iraq might just have the story of a lifetime when he meets Lyn Cassady, a guy who claims to be a former member of the U.S. Army's New Earth Army, a unit that employs paranormal powers in their missions.",2009,R,94,tt1234548,6.2,131564.0,"['GB', 'US']",0.0,Average
"Do Paise Ki Dhoop, Chaar Aane Ki Baarish",MOVIE,['drama'],"When a sex worker hires a gay songwriter to care for her disabled son, the ensuing bonds that form offer a complex portrayal of love and family.",2009,,121,tt1935782,6.5,203.0,['IN'],0.0,Average
Cloudy with a Chance of Meatballs,MOVIE,"['animation', 'drama', 'romance', 'comedy', 'family', 'fantasy', 'scifi']","Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?",2009,PG,90,tt0844471,6.9,226225.0,['US'],0.0,Average
What's Your Raashee?,MOVIE,"['comedy', 'drama', 'romance']","What's Your Raashee? Yogesh Patel, a young man in a hurry. Yogesh must find his dream girl within 10 days to save his family from utter ruin. Finding the dream girl is tough enough. Finding her in a hurry is even tougher.",2009,PG-13,192,tt1242530,4.8,2718.0,['IN'],0.0,Poor
Chloe,MOVIE,"['thriller', 'drama', 'romance', 'european']","A doctor hires an escort to seduce her husband, whom she suspects of cheating, though unforeseen events put the family in danger.",2009,R,99,tt1352824,6.3,72916.0,"['US', 'CA', 'FR']",0.0,Average
Community,SHOW,['comedy'],"Follow the lives of a group of students at what is possibly the worldâ€™s worst community college in the fictional locale of Greendale, Colorado.",2009,TV-PG,23,tt1439629,8.5,252564.0,['US'],6.0,Best
Kisaan,MOVIE,"['thriller', 'action', 'crime', 'drama']",A bitter family battle ensues between a father and his sons when a businessman makes a deal that entices farmers to sell off their properties.,2009,,100,tt1372266,5.5,302.0,['IN'],0.0,Average
Naruto Shippuden the Movie: The Will of Fire,MOVIE,"['action', 'animation', 'fantasy']","Ninjas with bloodline limits begin disappearing in all the countries and blame points toward the fire nation. By Tsunade's order, Kakashi is sacrificed to prevent an all out war. After inheriting charms left by Kakashi, Naruto fights through friends and foes to prevent his death while changing the minds of those who've inherited the will of fire.",2009,PG-13,95,tt1481363,7.0,3626.0,['JP'],0.0,Average
Luck by Chance,MOVIE,"['romance', 'drama']","Not wanting the same fate as befell her sisters, Sona Mishra re-locates to Mumbai to try to make a living making movies, but she soon finds that the path she has chosen is not an easy one.",2009,,155,tt0886539,7.1,10206.0,['IN'],0.0,Best
Big Time Rush,SHOW,"['comedy', 'family']","Four teenage friends move from Minneapolis to Los Angeles to form a potential chart-topping boy band after Kendall is inadvertently discovered by an eccentric record executive, Gustavo Rocque. As they seize this opportunity of a lifetime, these friends embark on an exciting comedy and music-filled journey to prove to themselves and their record label that they are serious about their new career choice.",2009,TV-G,25,tt1131746,6.3,12046.0,['US'],4.0,Average
Terminator Salvation,MOVIE,"['thriller', 'scifi', 'fantasy', 'war', 'action']","All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",2009,PG-13,110,tt0438488,6.5,357557.0,"['US', 'DE', 'IT', 'GB']",0.0,Average
Accident,MOVIE,['thriller'],"A self-styled accident choreographer, the Brain is a professional hitman who kills his victims by trapping them in well crafted accidents that look like unfortunate mishaps. When the team's next assignment goes disastrously wrong, Brain begins to suspect that someone else has planned an â€˜accidentâ€™ on them.",2009,R,89,tt1202514,6.6,3284.0,['HK'],0.0,Average
Masha and the Bear,SHOW,"['comedy', 'family', 'action', 'animation']","Masha is an energetic three-year-old who canâ€™t seem to keep herself out of trouble. Bear is a warm, fatherly figure that does his best to guide his friend and keep her from harm, often ending up the unintended victim of her misadventures.",2009,TV-Y,6,tt1884856,7.6,3114.0,['RU'],5.0,Best
Ajab Prem Ki Ghazab Kahani,MOVIE,"['action', 'comedy', 'romance']","When his love interest doesn't show up for a meeting, a man and his friends go to Goa in order to find her, where they discover she loves someone else.",2009,PG,150,tt1252596,6.3,14380.0,['IN'],0.0,Average
Trailer Park Boys: Countdown to Liquor Day,MOVIE,"['comedy', 'crime']","Ricky, Julian and Bubbles are about to get out of jail, and this time, Julian vows to go straight, even open a legit business. Soon the Boys will all be rich. At least that's what they've told the parole board. But when they arrive back at the park, they find it's not the same old Sunnyvale - and it's not the same old Jim Lahey, Trailer Park Supervisor.",2009,R,101,tt1337032,7.3,7451.0,['CA'],0.0,Best
Sergio,MOVIE,['documentation'],"Charismatic, charming and complex, SÃ©rgio Vieira de Mello was the world's go-to guy, a man who could descend into the most dangerous places, charm the worst war criminals, and somehow protect the lives of the ordinary people to whom he'd devoted his life. The documentary tells the story of his most treacherous mission ever... a mission in which his own life hangs in the balance.",2009,,94,tt1333656,7.4,880.0,['US'],0.0,Best
Ben & Holly's Little Kingdom,SHOW,"['comedy', 'family', 'fantasy', 'animation', 'european']",The friendship between fairy princess Holly and Ben Elf in an enchanted magical kingdom of elves and fairies.,2009,TV-G,14,tt1436544,7.5,1222.0,['GB'],3.0,Best
Timmy Time,SHOW,"['comedy', 'fantasy', 'animation', 'family', 'european']","Timmy Time is a British animated pre-school children's comedy series created by the BBC and Aardman Animations. It started broadcasting in the UK on CBeebies on 6 April 2009. The show is a spin off from the Shaun the Sheep animation which itself is a spin off from the Aardman series Wallace & Gromit, which introduced the character of Shaun. The first two series ran for 26 episodes. In the United Kingdom, the show's most recent run began in September 2011 on CBeebies. In Australia, season one commenced in May 2009 on ABC1 and season three started in May 2011 on ABC 4 Kids.",2009,TV-Y,14,tt1125758,6.9,1083.0,['GB'],3.0,Average
Blood and Bone,MOVIE,"['thriller', 'action', 'crime', 'drama', 'sport']","In Los Angeles, an ex-con takes the underground fighting world by storm in his quest to fulfill a promise to a dead friend.",2009,R,93,tt0346631,6.7,33051.0,['US'],0.0,Average
Billu,MOVIE,"['drama', 'comedy']","When a famous Bollywood actor visits a small village for a film's shoot, a lowly hairdressers claim that they were once childhood friends soon makes him the centre of attention.",2009,PG,137,tt1230448,6.3,11747.0,['IN'],0.0,Average
Anchor Baby,MOVIE,"['documentation', 'drama', 'thriller']",Anchor Baby is a tale of an illegal immigrant couple from Nigeria on a quest to create a better life for their unborn child. Their dream is to have their baby in the United States in order for the baby to become a US citizen.,2010,,95,tt3296300,6.3,79.0,['US'],0.0,Average
Breakout,SHOW,"['drama', 'action']","After losing her family in a suspicious car crash, a woman awakens from a 13-year coma determined to expose the truth about the long-ago tragedy.",2010,TV-14,44,tt7131684,6.7,7.0,['SG'],1.0,Average
Bheem vs Aliens,MOVIE,['animation'],"Aliens from a planet called Zeake attack Dholakpur. They destroy the palace and take King Indravarma and Princess Indumati captive. The aliens then proceed to Pehalwanpur. Kyto, the alien leader challenges Bheem to a game to release the king and his daughter.",2010,G,69,tt6442436,7.7,35.0,[],0.0,Best
My Amnesia Girl,MOVIE,"['romance', 'comedy']","When Apollo finds himself surrounded by friends who are beginning to settle down, he is faced with the possibility of finding his true love. It all boils down to one name: Irene. It must be fate then, when he once again sees Irene, his ex-girlfriend from three years ago with whom he had the best memories with. Apollo and Irene were a perfect couple until circumstances led them to fall apart.Now, Irene has no recollection of Apollo, having acquired amnesia shortly after their separation. Apollo sees this as the perfect opportunity to pursue Irene again, and be able to undo all the mistakes he made in the past, by offering Irene the best memories she could ever have.True love is difficult to resist, they learn. Just when they find themselves ready to commit to each other, the pains from the past catch up with them, challenging them to finally own up to the mistakes made and lies said, and eventually realize what it is to forgive and forget.",2010,,110,tt1783350,6.7,430.0,['PH'],0.0,Average
IjÃ©: The Journey,MOVIE,['drama'],Anya's dream turned into a nightmare when she was accused of killing 3 men. For her to regain her freedom she had to share her secret with world. With help of her sister Chioma and an inexperienced attorney IjÃ© tells the story in a riveting way with an unexpected climatic ending. It's a story that conveys the fusion of the African culture with the American culture in a court room like no other.,2010,,106,tt1578582,7.0,108.0,"['NG', 'US']",0.0,Average
Tum Milo Toh Sahi,MOVIE,"['drama', 'comedy']",Tum Milo Toh Sahi is not just a romantic comedy... it is three unique romantic stories in one.,2010,,127,tt1442583,5.6,522.0,['IN'],0.0,Average
Banyuki,MOVIE,['drama'],"A story of an island country named Horai that was finally about to be integrated under one political administration. Domon DATE, an innocent man confined in a prison island. After 10 years of imprisonment, he kept his sanity by dreaming of retaliating against those who framed him up. He breaks the prison with the help of a man incarcerated in the deepest corner of the prison island. The man identified himself as Saji. His steady road to revenge was obstructed by a woman named Mikoto, the once fiancÃ©e of his. Can Domon get his revenge? Who is the man who identified himself as Saji? What are the hidden thoughts of Mikoto?",2010,,182,tt1735848,7.4,15.0,['JP'],0.0,Best
Once a Gangster,MOVIE,"['crime', 'action', 'comedy']","Roast Pork joins the triad as a young man and ends up becoming a trusted lieutenant of boss Kerosene. However, his true passion is in his successful chain of restaurants, his loving wife, and his two children. So when Kerosene wants to promote his trusted right hand man to the top of the organization as a way to take on his financial debts, it's understandable why Roast Pork would want to refuse. Roast Pork comes up with an intricate scheme with his men that would take himself out of the running, but Kerosene's intervention causes it to fail. When all hopes appears to be lost, lifelong gangster Sparrow is released from jail after serving a 20-year sentence for committing a gang-related murder that earned him a guarantee for the leader spot. However, Sparrow has made his own plans to stay out of the gang, setting off a battle of wits between the two men.",2010,,95,tt1611840,5.7,481.0,['HK'],0.0,Average
Unriddle,SHOW,"['thriller', 'action', 'drama']","Detective Hu Xiaoman meets low level criminal Da Bao during an investigation of a missing heiress. Inspite of being on opposite sides of the law, the two work together to solve cases.",2010,TV-14,44,tt12229764,8.0,25.0,['SG'],2.0,Best
The Walking Dead,SHOW,"['action', 'drama', 'scifi', 'thriller', 'horror']",Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,2010,TV-MA,46,tt1520211,8.199999999999998,945125.0,['US'],11.0,Best
The Great British Baking Show,SHOW,"['reality', 'european']",Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,2010,TV-PG,57,tt1877368,8.6,9564.0,['GB'],12.0,Best
Chance Pe Dance,MOVIE,"['drama', 'music', 'romance', 'comedy']","Sameer is the archetypal struggler who leaves his dad in Delhi and comes to Mumbai, chasing dreams of becoming a star in Bollywood. Does he manage to survive the bleak and grueling rounds of endless auditions, broken promises and missed chances?",2010,G,121,tt1392744,4.8,2968.0,['IN'],0.0,Poor
Break Ke Baad,MOVIE,"['drama', 'romance', 'comedy']","Aaliya is not ready for commitment even after a decade-long friendship with Abhay. She remains indifferent when he follows her to Australia, but is finally shaken when he announces his marriage.",2010,,120,tt1578261,5.2,4227.0,['IN'],0.0,Average
Downton Abbey,SHOW,"['drama', 'romance', 'european']","A chronicle of the lives of the aristocratic Crawley family and their servants in the post-Edwardian eraâ€”with great events in history having an effect on their lives and on the British social hierarchy.

",2010,TV-14,58,tt1606375,8.699999999999998,197744.0,['GB'],6.0,Best
Tango with Me,MOVIE,"['drama', 'family', 'romance']","""Tango With Me"" is a contemporary story about forgiveness about some of our core values as a people and our faith.",2010,,104,tt1686795,6.3,46.0,['US'],0.0,Average
