Title,Type,Genres,Description,Release Year,Age Certification,Runtime,IMDB ID,IMDB Score,IMDB Votes,Production Countries,Seasons,Rating
Waiting for the Hearse,MOVIE,['comedy'],"Mama Cora, who is almost eighty years old, has three sons and a daughter. She lives with one of them, who has serious financial problems. The family meets one day to celebrate an anniversary meal, and that is when the problem arises: which of them will take care of her?",1985,,87,tt0089108,8.0,6285.0,['AR'],0.0,Best
Adam: His Song Continues,MOVIE,"['crime', 'drama']","Follows the true story of John and Reve Walsh who, after their child was murdered, fought to raise national awareness of the problem of missing children.",1986,,100,tt0090589,7.0,209.0,['US'],0.0,Average
Jaal,MOVIE,"['drama', 'thriller', 'action']","Shankar's father leaves the family for Meenabai. He later learns that his father is dead. He sets out to find out Meenabai, who he thinks is behind his father's death.",1986,,159,tt0239495,5.2,122.0,['IN'],0.0,Average
Pyar Ke Do Pal,MOVIE,"['drama', 'action']","In order to assist her close friend, Rajni Thakur, Geeta Choudhary, has an abortion in her name, so that Rajni can get married. When her secret gets leaked out, Geeta's husband, Ashok, blames her, accuses her of being unfaithful, and drives her out of his house. They have twins, Sunil and Anil, and each parent is allowed custody of one child. The children meet each other at Scout camp, and decide to re-unite their parents, without realizing that they are exposing not only them, but also each other, to danger and death.",1986,,153,tt0358053,6.1,65.0,['IN'],0.0,Average
Top Gun,MOVIE,"['drama', 'action']","A heart-pounding combination of action, music and incredible aerial photography helped make Top Gun the blockbuster hit. of 1986. Top Gun takes a look at the danger and excitement that awaits every pilot at the Navy's prestigious fighter weapons school. Tom Cruise is superb as Lt. Pete ""Maverick"" Mitchell, a daring young flyer who's out to become the best. And Kelly McGillis sizzles as the civilian instructor who teaches Maverick a few things you can't learn in a classroom.",1986,PG,110,tt0092099,6.9,329656.0,['US'],0.0,Average
Stand by Me,MOVIE,['drama'],"Gordie, Chris, Teddy and Vern are four friends who decide to hike to find the corpse of Ray Brower, a local teenager, who was hit by a train while plucking blueberries in the wild.",1986,R,89,tt0092005,8.1,392790.0,['US'],0.0,Best
She's Gotta Have It,MOVIE,"['comedy', 'romance']","The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner.",1986,R,84,tt0091939,6.7,14277.0,['US'],0.0,Average
Fireman Sam,SHOW,"['comedy', 'animation', 'family', 'crime', 'european']","Follow the adventures of fireman Sam and his colleagues as they protect the citizens of the Welsh town of Pontypandy. Whenever the alarm sounds, brave Sam and his co-workers can be counted on to jump into a fire engine, hop onto a helicopter, or even launch an inflatable lifeboat to battle blazes, mount rescue missions, or provide medical attention to those in need.",1987,TV-Y,10,tt0329829,6.1,1759.0,['GB'],13.0,Average
Muqaddar Ka Faisla,MOVIE,"['comedy', 'drama', 'family', 'action']","Muqaddar ka Faisla, is the story of Pandit Krishna Kant. A poor, but extremely honest, upright, God-fearing man, who refuses to compromise on his principles.",1987,,172,tt0239682,4.8,68.0,['IN'],0.0,Poor
Full Metal Jacket,MOVIE,"['drama', 'war']",A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,1987,R,116,tt0093058,8.3,723306.0,"['GB', 'US']",0.0,Best
Strange Voices,MOVIE,['drama'],A family begins to fall apart when their eldest daughter is diagnosed with schizophrenia.,1987,,100,tt0094052,6.3,357.0,['US'],0.0,Average
Sam Kinison: Breaking the Rules,MOVIE,"['comedy', 'documentation']","This is a great performance. Through yelling and energetic story-telling, he talks about marriage, drugs, being arrested (thanks to his ex-wife), pleasing women, religion, and much, much more.",1987,R,50,tt0307403,7.2,651.0,['US'],0.0,Best
Eddie Murphy Raw,MOVIE,"['comedy', 'documentation']","Eddie Murphy delights, shocks and entertains with dead-on celebrity impersonations, observations on '80s love, sex and marriage, a remembrance of Mom's hamburgers and much more.",1987,R,93,tt0092948,7.6,19646.0,['US'],0.0,Best
The George McKenna Story,MOVIE,['drama'],"Washington plays a school principal in a tough inner city Los Angeles high school out to rid it of drugs, gangs, low moral of teachers, and restore educational values.",1988,,100,tt0091106,6.0,901.0,['US'],0.0,Average
Quiet Victory: The Charlie Wedemeyer Story,MOVIE,['drama'],"Film that tells the story of Los Gatos (California) high school football coach Charlie Wedemeyer. At 31, onetime football pro Wedemeyer is living the American dream; a winning team, a happy marriage and public adulation.",1988,,100,tt0095945,7.1,144.0,['US'],0.0,Best
Too Young The Hero,MOVIE,"['drama', 'war']","TV movie based upon the true story of Calvin Graham, who, as a 12 year old boy, enlisted in the US Navy during WWII.",1988,,100,tt0096286,6.7,494.0,['US'],0.0,Average
High Risk,SHOW,['comedy'],"High Risk is a program aired by the CBS television network as part of its 1988 fall lineup.

The genesis of High Risk was a 1988 strike by members of both the Writers Guild of America, East and Writers Guild of America, west against the Alliance of Motion Picture and Television Producers. Unable to produce regular, scripted series, programs such as High Risk were put together to serve as replacements under fear of a two-year lockout.

The CBS 100% in-house production featured ""high-risk"" stunts and jobs such as Border Patrol agent, automobile repo men, cave explorers, and thrilling roller-coaster testers.

Intended as a two-year commitment, strike or no strike, High Risk received unanimous condemnations and was cancelled after being presented for one night. The show was hosted by Wayne Rogers.",1988,TV-PG,50,tt0094478,3.8,6.0,['US'],1.0,Poor
